Model: ,Oscilloscope DSO-X 2002A
Serial Number:,MY54313423
Address: ,USB0::0x0957::0x179B::MY54313423::0::INSTR
Date: ,2016-04-04 17:51:07

Analog Sample Count:,1000,

Setup Text Information:,
ANALOG,,,TRIGGER,,,HORIZONTAL,,,ACQUISITION,,,
Ch 1,,,,,,,,,,,,
Scale,2 V/,,Sweep Mode,Auto,,Mode,MAIN,,Mode,NORM,,
Pos,0 V,,Coup,DC,,Ref,CENT,,Realtime,On,,
Coup,DC,,Noise Rej,Off,,Main Scale,1 ms/,,Vectors,On,,
BW,Off,,HF Rej,Off,,Main Delay,0 s,,Persistence,Off,,
Inv,Off,,Holdoff,40.0 ns,,,,,,,,
Imp,1M Ohm,,Mode,EDGE,,,,,,,,
Probe,1 : 1,,Source,Ch 1,,,,,,,,
Skew,0 s,,Slope,POS,,,,,,,,
,,,Level,-120 mV,,,,,,,,

Analog Channels,,,,
Sample Number,Time (s),1 (VOLT),,
1,-0.005,2.09045185148716,,
2,-0.00499,1.28643190860748,,
3,-0.00498,1.12562792003155,,
4,-0.00497,1.04522592574358,,
5,-0.00496,0.964823931455612,,
6,-0.00495,0.804019942879677,,
7,-0.00494,0.804019942879677,,
8,-0.00493,0.643215954303741,,
9,-0.00492,0.643215954303741,,
10,-0.00491,0.562813960015774,,
11,-0.0049,0.562813960015774,,
12,-0.00489,0.562813960015774,,
13,-0.00488,0.482411965727806,,
14,-0.00487,0.482411965727806,,
15,-0.00486,0.482411965727806,,
16,-0.00485,0.482411965727806,,
17,-0.00484,0.482411965727806,,
18,-0.00483,0.402009971439838,,
19,-0.00482,0.402009971439838,,
20,-0.00481,0.402009971439838,,
21,-0.0048,0.402009971439838,,
22,-0.00479,0.321607977151871,,
23,-0.00478,0.402009971439838,,
24,-0.00477,0.402009971439838,,
25,-0.00476,0.402009971439838,,
26,-0.00475,0.402009971439838,,
27,-0.00474,0.402009971439838,,
28,-0.00473,0.321607977151871,,
29,-0.00472,0.402009971439838,,
30,-0.00471,0.321607977151871,,
31,-0.0047,0.321607977151871,,
32,-0.00469,0.321607977151871,,
33,-0.00468,0.321607977151871,,
34,-0.00467,0.321607977151871,,
35,-0.00466,0.321607977151871,,
36,-0.00465,0.321607977151871,,
37,-0.00464,0.321607977151871,,
38,-0.00463,0.321607977151871,,
39,-0.00462,0.402009971439838,,
