Model: ,Oscilloscope DSO-X 2002A
Serial Number:,MY54313423
Address: ,USB0::0x0957::0x179B::MY54313423::0::INSTR
Date: ,2016-04-04 18:18:22

Analog Sample Count:,1000,

Setup Text Information:,
ANALOG,,,TRIGGER,,,HORIZONTAL,,,ACQUISITION,,,
Ch 1,,,,,,,,,,,,
Scale,200 mV/,,Sweep Mode,Auto,,Mode,MAIN,,Mode,NORM,,
Pos,0 V,,Coup,DC,,Ref,CENT,,Realtime,On,,
Coup,DC,,Noise Rej,Off,,Main Scale,50 µs/,,Vectors,On,,
BW,Off,,HF Rej,Off,,Main Delay,0 s,,Persistence,Off,,
Inv,Off,,Holdoff,40.0 ns,,,,,,,,
Imp,1M Ohm,,Mode,EDGE,,,,,,,,
Probe,1 : 1,,Source,Ch 1,,,,,,,,
Skew,0 s,,Slope,POS,,,,,,,,
,,,Level,0 V,,,,,,,,

Analog Channels,,,,
Sample Number,Time (s),1 (VOLT),,
1,-0.00025,0.0241205999627709,,
2,-0.0002495,0.0241205999627709,,
3,-0.000249,0.0241205999627709,,
4,-0.0002485,0.00804019998759031,,
5,-0.000248,0.00804019998759031,,
6,-0.0002475,0.0160803999751806,,
7,-0.000247,0.00804019998759031,,
8,-0.0002465,0,,
9,-0.000246,0,,
10,-0.0002455,-0.00804019998759031,,
11,-0.000245,-0.0160803999751806,,
12,-0.0002445,-0.00804019998759031,,
13,-0.000244,-0.00804019998759031,,
14,-0.0002435,-0.0160803999751806,,
15,-0.000243,-0.0241205999627709,,
16,-0.0002425,-0.0160803999751806,,
17,-0.000242,-0.0160803999751806,,
18,-0.0002415,-0.0241205999627709,,
19,-0.000241,-0.0321607999503613,,
20,-0.0002405,-0.0321607999503613,,
21,-0.00024,-0.0402009999379516,,
22,-0.0002395,-0.0482411999255419,,
23,-0.000239,-0.0482411999255419,,
24,-0.0002385,-0.0562813999131322,,
25,-0.000238,-0.0562813999131322,,
26,-0.0002375,-0.0562813999131322,,
27,-0.000237,-0.0562813999131322,,
28,-0.0002365,-0.0562813999131322,,
29,-0.000236,-0.0804019998759031,,
30,-0.0002355,-0.0723617998883128,,
31,-0.000235,-0.0804019998759031,,
32,-0.0002345,-0.0723617998883128,,
33,-0.000234,-0.0884421998634934,,
34,-0.0002335,-0.0804019998759031,,
35,-0.000233,-0.0884421998634934,,
36,-0.0002325,-0.0884421998634934,,
37,-0.000232,-0.104522599838674,,
38,-0.0002315,-0.104522599838674,,
39,-0.000231,-0.0964823998510838,,
40,-0.0002305,-0.104522599838674,,
41,-0.00023,-0.112562799826264,,
42,-0.0002295,-0.104522599838674,,
43,-0.000229,-0.120602999813855,,
44,-0.0002285,-0.128643199801445,,
45,-0.000228,-0.128643199801445,,
46,-0.0002275,-0.128643199801445,,
47,-0.000227,-0.120602999813855,,
48,-0.0002265,-0.144723599776626,,
49,-0.000226,-0.136683399789035,,
50,-0.0002255,-0.128643199801445,,
51,-0.000225,-0.144723599776626,,
52,-0.0002245,-0.152763799764216,,
53,-0.000224,-0.144723599776626,,
54,-0.0002235,-0.144723599776626,,
55,-0.000223,-0.160803999751806,,
56,-0.0002225,-0.160803999751806,,
57,-0.000222,-0.152763799764216,,
58,-0.0002215,-0.160803999751806,,
59,-0.000221,-0.168844199739397,,
60,-0.0002205,-0.168844199739397,,
61,-0.00022,-0.168844199739397,,
62,-0.0002195,-0.160803999751806,,
63,-0.000219,-0.184924599714577,,
64,-0.0002185,-0.168844199739397,,
65,-0.000218,-0.104522599838674,,
66,-0.0002175,-0.112562799826264,,
67,-0.000217,-0.168844199739397,,
68,-0.0002165,-0.184924599714577,,
69,-0.000216,-0.168844199739397,,
70,-0.0002155,-0.136683399789035,,
71,-0.000215,-0.144723599776626,,
72,-0.0002145,-0.144723599776626,,
73,-0.000214,-0.144723599776626,,
74,-0.0002135,-0.136683399789035,,
75,-0.000213,-0.144723599776626,,
76,-0.0002125,-0.128643199801445,,
77,-0.000212,-0.120602999813855,,
78,-0.0002115,-0.136683399789035,,
79,-0.000211,-0.112562799826264,,
80,-0.0002105,-0.112562799826264,,
81,-0.00021,-0.112562799826264,,
82,-0.0002095,-0.112562799826264,,
83,-0.000209,-0.0964823998510838,,
84,-0.0002085,-0.0884421998634934,,
85,-0.000208,-0.0804019998759031,,
86,-0.0002075,-0.0804019998759031,,
87,-0.000207,-0.0884421998634934,,
88,-0.0002065,-0.0804019998759031,,
89,-0.000206,-0.0723617998883128,,
90,-0.0002055,-0.0723617998883128,,
91,-0.000205,-0.0723617998883128,,
92,-0.0002045,-0.0723617998883128,,
93,-0.000204,-0.0643215999007225,,
94,-0.0002035,-0.0643215999007225,,
95,-0.000203,-0.0482411999255419,,
96,-0.0002025,-0.0482411999255419,,
97,-0.000202,-0.0562813999131322,,
98,-0.0002015,-0.0402009999379516,,
99,-0.000201,-0.0321607999503613,,
100,-0.0002005,-0.0321607999503613,,
101,-0.0002,-0.0241205999627709,,
102,-0.0001995,-0.0160803999751806,,
103,-0.000199,-0.0160803999751806,,
104,-0.0001985,-0.00804019998759031,,
105,-0.000198,-0.0241205999627709,,
106,-0.0001975,-0.00804019998759031,,
107,-0.000197,-0.0160803999751806,,
108,-0.0001965,0,,
109,-0.000196,-0.00804019998759031,,
110,-0.0001955,0,,
111,-0.000195,0.0160803999751806,,
112,-0.0001945,0.00804019998759031,,
113,-0.000194,0.0241205999627709,,
114,-0.0001935,0.0241205999627709,,
115,-0.000193,0.0241205999627709,,
116,-0.0001925,0.0321607999503613,,
117,-0.000192,0.0241205999627709,,
118,-0.0001915,0.0321607999503613,,
119,-0.000191,0.0402009999379516,,
120,-0.0001905,0.0321607999503613,,
121,-0.00019,0.0402009999379516,,
122,-0.0001895,0.0321607999503613,,
123,-0.000189,0.0482411999255419,,
124,-0.0001885,0.0482411999255419,,
125,-0.000188,0.0562813999131322,,
126,-0.0001875,0.0482411999255419,,
127,-0.000187,0.0562813999131322,,
128,-0.0001865,0.0723617998883128,,
129,-0.000186,0.0643215999007225,,
130,-0.0001855,0.0723617998883128,,
131,-0.000185,0.0804019998759031,,
132,-0.0001845,0.0884421998634934,,
133,-0.000184,0.0723617998883128,,
134,-0.0001835,0.0804019998759031,,
135,-0.000183,0.104522599838674,,
136,-0.0001825,0.0964823998510838,,
137,-0.000182,0.104522599838674,,
138,-0.0001815,0.0964823998510838,,
139,-0.000181,0.104522599838674,,
140,-0.0001805,0.112562799826264,,
141,-0.00018,0.112562799826264,,
142,-0.0001795,0.112562799826264,,
143,-0.000179,0.120602999813855,,
144,-0.0001785,0.120602999813855,,
145,-0.000178,0.120602999813855,,
146,-0.0001775,0.128643199801445,,
147,-0.000177,0.136683399789035,,
148,-0.0001765,0.136683399789035,,
149,-0.000176,0.128643199801445,,
150,-0.0001755,0.144723599776626,,
151,-0.000175,0.144723599776626,,
152,-0.0001745,0.136683399789035,,
153,-0.000174,0.144723599776626,,
154,-0.0001735,0.144723599776626,,
155,-0.000173,0.160803999751806,,
156,-0.0001725,0.152763799764216,,
157,-0.000172,0.160803999751806,,
158,-0.0001715,0.168844199739397,,
159,-0.000171,0.168844199739397,,
160,-0.0001705,0.168844199739397,,
161,-0.00017,0.176884399726987,,
162,-0.0001695,0.168844199739397,,
163,-0.000169,0.176884399726987,,
164,-0.0001685,0.184924599714577,,
165,-0.000168,0.120602999813855,,
166,-0.0001675,0.128643199801445,,
167,-0.000167,0.160803999751806,,
168,-0.0001665,0.176884399726987,,
169,-0.000166,0.168844199739397,,
170,-0.0001655,0.160803999751806,,
171,-0.000165,0.160803999751806,,
172,-0.0001645,0.136683399789035,,
173,-0.000164,0.144723599776626,,
174,-0.0001635,0.136683399789035,,
175,-0.000163,0.136683399789035,,
176,-0.0001625,0.128643199801445,,
177,-0.000162,0.128643199801445,,
178,-0.0001615,0.120602999813855,,
179,-0.000161,0.112562799826264,,
180,-0.0001605,0.120602999813855,,
181,-0.00016,0.112562799826264,,
182,-0.0001595,0.0884421998634934,,
183,-0.000159,0.112562799826264,,
184,-0.0001585,0.104522599838674,,
185,-0.000158,0.0964823998510838,,
186,-0.0001575,0.0804019998759031,,
187,-0.000157,0.0723617998883128,,
188,-0.0001565,0.0804019998759031,,
189,-0.000156,0.0804019998759031,,
190,-0.0001555,0.0643215999007225,,
191,-0.000155,0.0804019998759031,,
192,-0.0001545,0.0562813999131322,,
193,-0.000154,0.0723617998883128,,
194,-0.0001535,0.0562813999131322,,
195,-0.000153,0.0402009999379516,,
196,-0.0001525,0.0482411999255419,,
197,-0.000152,0.0482411999255419,,
198,-0.0001515,0.0321607999503613,,
199,-0.000151,0.0402009999379516,,
200,-0.0001505,0.0402009999379516,,
201,-0.00015,0.0321607999503613,,
202,-0.0001495,0.0321607999503613,,
203,-0.000149,0.00804019998759031,,
204,-0.0001485,0.0241205999627709,,
205,-0.000148,0.0160803999751806,,
206,-0.0001475,0,,
207,-0.000147,0,,
208,-0.0001465,0.00804019998759031,,
209,-0.000146,0.00804019998759031,,
210,-0.0001455,0,,
211,-0.000145,0.00804019998759031,,
212,-0.0001445,-0.00804019998759031,,
213,-0.000144,-0.0241205999627709,,
214,-0.0001435,-0.0160803999751806,,
215,-0.000143,-0.0241205999627709,,
216,-0.0001425,-0.0321607999503613,,
217,-0.000142,-0.0321607999503613,,
218,-0.0001415,-0.0402009999379516,,
219,-0.000141,-0.0482411999255419,,
220,-0.0001405,-0.0321607999503613,,
221,-0.00014,-0.0321607999503613,,
222,-0.0001395,-0.0482411999255419,,
223,-0.000139,-0.0482411999255419,,
224,-0.0001385,-0.0562813999131322,,
225,-0.000138,-0.0562813999131322,,
226,-0.0001375,-0.0643215999007225,,
227,-0.000137,-0.0723617998883128,,
228,-0.0001365,-0.0723617998883128,,
229,-0.000136,-0.0723617998883128,,
230,-0.0001355,-0.0723617998883128,,
231,-0.000135,-0.0723617998883128,,
232,-0.0001345,-0.0723617998883128,,
233,-0.000134,-0.0884421998634934,,
234,-0.0001335,-0.0804019998759031,,
235,-0.000133,-0.0964823998510838,,
236,-0.0001325,-0.0804019998759031,,
237,-0.000132,-0.104522599838674,,
238,-0.0001315,-0.0964823998510838,,
239,-0.000131,-0.104522599838674,,
240,-0.0001305,-0.104522599838674,,
241,-0.00013,-0.120602999813855,,
242,-0.0001295,-0.104522599838674,,
243,-0.000129,-0.120602999813855,,
244,-0.0001285,-0.120602999813855,,
245,-0.000128,-0.128643199801445,,
246,-0.0001275,-0.128643199801445,,
247,-0.000127,-0.112562799826264,,
248,-0.0001265,-0.120602999813855,,
249,-0.000126,-0.120602999813855,,
250,-0.0001255,-0.152763799764216,,
251,-0.000125,-0.136683399789035,,
252,-0.0001245,-0.136683399789035,,
253,-0.000124,-0.144723599776626,,
254,-0.0001235,-0.152763799764216,,
255,-0.000123,-0.144723599776626,,
256,-0.0001225,-0.168844199739397,,
257,-0.000122,-0.160803999751806,,
258,-0.0001215,-0.160803999751806,,
259,-0.000121,-0.160803999751806,,
260,-0.0001205,-0.168844199739397,,
261,-0.00012,-0.168844199739397,,
262,-0.0001195,-0.176884399726987,,
263,-0.000119,-0.184924599714577,,
264,-0.0001185,-0.184924599714577,,
265,-0.000118,-0.136683399789035,,
266,-0.0001175,-0.128643199801445,,
267,-0.000117,-0.184924599714577,,
268,-0.0001165,-0.176884399726987,,
269,-0.000116,-0.168844199739397,,
270,-0.0001155,-0.152763799764216,,
271,-0.000115,-0.144723599776626,,
272,-0.0001145,-0.152763799764216,,
273,-0.000114,-0.136683399789035,,
274,-0.0001135,-0.144723599776626,,
275,-0.000113,-0.128643199801445,,
276,-0.0001125,-0.144723599776626,,
277,-0.000112,-0.120602999813855,,
278,-0.0001115,-0.120602999813855,,
279,-0.000111,-0.104522599838674,,
280,-0.0001105,-0.112562799826264,,
281,-0.00011,-0.104522599838674,,
282,-0.0001095,-0.104522599838674,,
283,-0.000109,-0.104522599838674,,
284,-0.0001085,-0.104522599838674,,
285,-0.000108,-0.0964823998510838,,
286,-0.0001075,-0.0804019998759031,,
287,-0.000107,-0.0884421998634934,,
288,-0.0001065,-0.0804019998759031,,
289,-0.000106,-0.0723617998883128,,
290,-0.0001055,-0.0643215999007225,,
291,-0.000105,-0.0562813999131322,,
292,-0.0001045,-0.0643215999007225,,
293,-0.000104,-0.0723617998883128,,
294,-0.0001035,-0.0562813999131322,,
295,-0.000103,-0.0482411999255419,,
296,-0.0001025,-0.0482411999255419,,
297,-0.000102,-0.0482411999255419,,
298,-0.0001015,-0.0321607999503613,,
299,-0.000101,-0.0482411999255419,,
300,-0.0001005,-0.0241205999627709,,
301,-0.0001,-0.0241205999627709,,
302,-9.95E-05,-0.0241205999627709,,
303,-9.9E-05,-0.0241205999627709,,
304,-9.85E-05,-0.0241205999627709,,
305,-9.8E-05,-0.0160803999751806,,
306,-9.75E-05,-0.0160803999751806,,
307,-9.7E-05,-0.0160803999751806,,
308,-9.65E-05,-0.00804019998759031,,
309,-9.6E-05,0.00804019998759031,,
310,-9.55E-05,0.00804019998759031,,
311,-9.5E-05,-0.00804019998759031,,
312,-9.45E-05,0,,
313,-9.4E-05,0.0241205999627709,,
314,-9.35E-05,0.0241205999627709,,
315,-9.3E-05,0.0241205999627709,,
316,-9.25E-05,0.0321607999503613,,
317,-9.2E-05,0.0321607999503613,,
