Model: ,Oscilloscope DSO-X 2002A
Serial Number:,MY54313423
Address: ,USB0::0x0957::0x179B::MY54313423::0::INSTR
Date: ,2016-04-04 18:17:43

Analog Sample Count:,1000,

Setup Text Information:,
ANALOG,,,TRIGGER,,,HORIZONTAL,,,ACQUISITION,,,
Ch 1,,,,,,,,,,,,
Scale,500 mV/,,Sweep Mode,Auto,,Mode,MAIN,,Mode,NORM,,
Pos,0 V,,Coup,DC,,Ref,CENT,,Realtime,On,,
Coup,DC,,Noise Rej,Off,,Main Scale,100 µs/,,Vectors,On,,
BW,Off,,HF Rej,Off,,Main Delay,0 s,,Persistence,Off,,
Inv,Off,,Holdoff,40.0 ns,,,,,,,,
Imp,1M Ohm,,Mode,EDGE,,,,,,,,
Probe,1 : 1,,Source,Ch 1,,,,,,,,
Skew,0 s,,Slope,POS,,,,,,,,
,,,Level,-20 mV,,,,,,,,

Analog Channels,,,,
Sample Number,Time (s),1 (VOLT),,
1,-0.0005,0.0201005022972822,,
2,-0.000499,0.0201005022972822,,
3,-0.000498,0.0201005022972822,,
4,-0.000497,0,,
5,-0.000496,-0.0201005022972822,,
6,-0.000495,-0.0201005022972822,,
7,-0.000494,-0.0402010045945644,,
8,-0.000493,-0.0402010045945644,,
9,-0.000492,-0.0402010045945644,,
10,-0.000491,-0.0603015068918467,,
11,-0.00049,-0.0603015068918467,,
12,-0.000489,-0.0603015068918467,,
13,-0.000488,-0.0603015068918467,,
14,-0.000487,-0.0603015068918467,,
15,-0.000486,-0.0804020091891289,,
16,-0.000485,-0.0804020091891289,,
17,-0.000484,-0.100502511486411,,
18,-0.000483,-0.100502511486411,,
19,-0.000482,-0.120603013783693,,
20,-0.000481,-0.100502511486411,,
21,-0.00048,-0.100502511486411,,
22,-0.000479,-0.120603013783693,,
23,-0.000478,-0.140703516080976,,
24,-0.000477,-0.140703516080976,,
25,-0.000476,-0.140703516080976,,
26,-0.000475,-0.160804018378258,,
27,-0.000474,-0.160804018378258,,
28,-0.000473,-0.160804018378258,,
29,-0.000472,-0.160804018378258,,
30,-0.000471,-0.160804018378258,,
31,-0.00047,-0.18090452067554,,
32,-0.000469,-0.201005022972822,,
33,-0.000468,-0.18090452067554,,
34,-0.000467,-0.201005022972822,,
35,-0.000466,-0.201005022972822,,
36,-0.000465,-0.201005022972822,,
37,-0.000464,-0.221105525270104,,
38,-0.000463,-0.221105525270104,,
39,-0.000462,-0.221105525270104,,
40,-0.000461,-0.241206027567387,,
41,-0.00046,-0.241206027567387,,
42,-0.000459,-0.241206027567387,,
43,-0.000458,-0.261306529864669,,
44,-0.000457,-0.241206027567387,,
45,-0.000456,-0.261306529864669,,
46,-0.000455,-0.261306529864669,,
47,-0.000454,-0.261306529864669,,
48,-0.000453,-0.261306529864669,,
49,-0.000452,-0.281407032161951,,
50,-0.000451,-0.301507534459233,,
51,-0.00045,-0.301507534459233,,
52,-0.000449,-0.301507534459233,,
53,-0.000448,-0.281407032161951,,
54,-0.000447,-0.321608036756516,,
55,-0.000446,-0.301507534459233,,
56,-0.000445,-0.321608036756516,,
57,-0.000444,-0.321608036756516,,
58,-0.000443,-0.321608036756516,,
59,-0.000442,-0.341708539053798,,
60,-0.000441,-0.341708539053798,,
61,-0.00044,-0.341708539053798,,
62,-0.000439,-0.36180904135108,,
63,-0.000438,-0.36180904135108,,
64,-0.000437,-0.341708539053798,,
65,-0.000436,-0.402010045945644,,
66,-0.000435,-0.341708539053798,,
67,-0.000434,-0.341708539053798,,
68,-0.000433,-0.321608036756516,,
69,-0.000432,-0.301507534459233,,
70,-0.000431,-0.301507534459233,,
71,-0.00043,-0.281407032161951,,
72,-0.000429,-0.281407032161951,,
73,-0.000428,-0.281407032161951,,
74,-0.000427,-0.261306529864669,,
75,-0.000426,-0.261306529864669,,
76,-0.000425,-0.261306529864669,,
77,-0.000424,-0.241206027567387,,
78,-0.000423,-0.221105525270104,,
79,-0.000422,-0.221105525270104,,
80,-0.000421,-0.201005022972822,,
81,-0.00042,-0.201005022972822,,
82,-0.000419,-0.201005022972822,,
83,-0.000418,-0.201005022972822,,
84,-0.000417,-0.18090452067554,,
85,-0.000416,-0.160804018378258,,
86,-0.000415,-0.140703516080976,,
87,-0.000414,-0.140703516080976,,
88,-0.000413,-0.140703516080976,,
89,-0.000412,-0.140703516080976,,
90,-0.000411,-0.120603013783693,,
91,-0.00041,-0.120603013783693,,
92,-0.000409,-0.100502511486411,,
93,-0.000408,-0.100502511486411,,
94,-0.000407,-0.0804020091891289,,
95,-0.000406,-0.0804020091891289,,
96,-0.000405,-0.0603015068918467,,
97,-0.000404,-0.0603015068918467,,
98,-0.000403,-0.0603015068918467,,
99,-0.000402,-0.0402010045945644,,
100,-0.000401,-0.0603015068918467,,
101,-0.0004,-0.0402010045945644,,
102,-0.000399,-0.0402010045945644,,
103,-0.000398,-0.0201005022972822,,
104,-0.000397,-0.0201005022972822,,
105,-0.000396,0,,
106,-0.000395,0,,
107,-0.000394,0,,
108,-0.000393,0,,
109,-0.000392,0,,
110,-0.000391,0.0201005022972822,,
111,-0.00039,0.0201005022972822,,
112,-0.000389,0.0402010045945644,,
113,-0.000388,0.0402010045945644,,
114,-0.000387,0.0402010045945644,,
115,-0.000386,0.0603015068918467,,
116,-0.000385,0.0603015068918467,,
117,-0.000384,0.0804020091891289,,
118,-0.000383,0.0603015068918467,,
119,-0.000382,0.0804020091891289,,
120,-0.000381,0.100502511486411,,
121,-0.00038,0.0804020091891289,,
122,-0.000379,0.100502511486411,,
123,-0.000378,0.120603013783693,,
124,-0.000377,0.120603013783693,,
125,-0.000376,0.120603013783693,,
126,-0.000375,0.100502511486411,,
127,-0.000374,0.120603013783693,,
128,-0.000373,0.140703516080976,,
129,-0.000372,0.160804018378258,,
130,-0.000371,0.140703516080976,,
131,-0.00037,0.160804018378258,,
132,-0.000369,0.160804018378258,,
133,-0.000368,0.18090452067554,,
134,-0.000367,0.18090452067554,,
135,-0.000366,0.18090452067554,,
136,-0.000365,0.18090452067554,,
137,-0.000364,0.201005022972822,,
138,-0.000363,0.201005022972822,,
139,-0.000362,0.201005022972822,,
140,-0.000361,0.221105525270104,,
141,-0.00036,0.201005022972822,,
142,-0.000359,0.221105525270104,,
143,-0.000358,0.221105525270104,,
144,-0.000357,0.241206027567387,,
145,-0.000356,0.221105525270104,,
146,-0.000355,0.241206027567387,,
147,-0.000354,0.241206027567387,,
148,-0.000353,0.241206027567387,,
149,-0.000352,0.261306529864669,,
150,-0.000351,0.241206027567387,,
151,-0.00035,0.261306529864669,,
152,-0.000349,0.281407032161951,,
153,-0.000348,0.301507534459233,,
154,-0.000347,0.301507534459233,,
155,-0.000346,0.301507534459233,,
156,-0.000345,0.301507534459233,,
157,-0.000344,0.301507534459233,,
158,-0.000343,0.321608036756516,,
159,-0.000342,0.301507534459233,,
160,-0.000341,0.301507534459233,,
