Model: ,Oscilloscope DSO-X 2002A
Serial Number:,MY54313423
Address: ,USB0::0x0957::0x179B::MY54313423::0::INSTR
Date: ,2016-04-04 18:16:29

Analog Sample Count:,1000,

Setup Text Information:,
ANALOG,,,TRIGGER,,,HORIZONTAL,,,ACQUISITION,,,
Ch 1,,,,,,,,,,,,
Scale,1 V/,,Sweep Mode,Auto,,Mode,MAIN,,Mode,NORM,,
Pos,0 V,,Coup,DC,,Ref,CENT,,Realtime,On,,
Coup,DC,,Noise Rej,Off,,Main Scale,1 ms/,,Vectors,On,,
BW,Off,,HF Rej,Off,,Main Delay,0 s,,Persistence,Off,,
Inv,Off,,Holdoff,40.0 ns,,,,,,,,
Imp,1M Ohm,,Mode,EDGE,,,,,,,,
Probe,1 : 1,,Source,Ch 1,,,,,,,,
Skew,0 s,,Slope,POS,,,,,,,,
,,,Level,-20 mV,,,,,,,,

Analog Channels,,,,
Sample Number,Time (s),1 (VOLT),,
1,-0.005,-0.040201012045145,,
2,-0.00499,-0.120603036135435,,
3,-0.00498,-0.16080404818058,,
4,-0.00497,-0.24120607227087,,
5,-0.00496,-0.281407084316015,,
6,-0.00495,-0.32160809636116,,
7,-0.00494,-0.361809108406305,,
8,-0.00493,-0.40201012045145,,
9,-0.00492,-0.48241214454174,,
10,-0.00491,-0.522613156586885,,
11,-0.0049,-0.522613156586885,,
12,-0.00489,-0.56281416863203,,
13,-0.00488,-0.603015180677176,,
14,-0.00487,-0.643216192722321,,
15,-0.00486,-0.643216192722321,,
16,-0.00485,-0.683417204767466,,
17,-0.00484,-0.723618216812611,,
18,-0.00483,-0.723618216812611,,
19,-0.00482,-0.723618216812611,,
20,-0.00481,-0.763819228857756,,
21,-0.0048,-0.763819228857756,,
22,-0.00479,-0.804020240902901,,
23,-0.00478,-0.804020240902901,,
24,-0.00477,-0.804020240902901,,
25,-0.00476,-0.844221252948046,,
26,-0.00475,-0.844221252948046,,
27,-0.00474,-0.844221252948046,,
28,-0.00473,-0.884422264993191,,
29,-0.00472,-0.884422264993191,,
30,-0.00471,-0.884422264993191,,
31,-0.0047,-0.884422264993191,,
32,-0.00469,-0.884422264993191,,
33,-0.00468,-0.924623277038336,,
34,-0.00467,-0.924623277038336,,
35,-0.00466,-0.924623277038336,,
36,-0.00465,-0.964824289083481,,
37,-0.00464,-0.964824289083481,,
38,-0.00463,-0.964824289083481,,
39,-0.00462,-0.964824289083481,,
40,-0.00461,-0.964824289083481,,
41,-0.0046,-0.964824289083481,,
42,-0.00459,-0.964824289083481,,
43,-0.00458,-0.964824289083481,,
44,-0.00457,-0.964824289083481,,
45,-0.00456,-1.00502530112863,,
46,-0.00455,-1.00502530112863,,
47,-0.00454,-0.964824289083481,,
48,-0.00453,-1.00502530112863,,
49,-0.00452,-1.00502530112863,,
50,-0.00451,-1.00502530112863,,
51,-0.0045,-1.00502530112863,,
52,-0.00449,-1.00502530112863,,
53,-0.00448,-1.00502530112863,,
54,-0.00447,-1.00502530112863,,
55,-0.00446,-1.00502530112863,,
56,-0.00445,-1.00502530112863,,
57,-0.00444,-1.00502530112863,,
58,-0.00443,-1.04522631317377,,
59,-0.00442,-1.00502530112863,,
60,-0.00441,-1.00502530112863,,
61,-0.0044,-1.00502530112863,,
62,-0.00439,-1.00502530112863,,
63,-0.00438,-1.00502530112863,,
64,-0.00437,-1.00502530112863,,
65,-0.00436,-1.04522631317377,,
66,-0.00435,-1.00502530112863,,
67,-0.00434,-1.00502530112863,,
68,-0.00433,-1.00502530112863,,
69,-0.00432,-1.00502530112863,,
70,-0.00431,-1.00502530112863,,
71,-0.0043,-1.00502530112863,,
72,-0.00429,-1.00502530112863,,
73,-0.00428,-1.04522631317377,,
74,-0.00427,-1.04522631317377,,
75,-0.00426,-1.04522631317377,,
76,-0.00425,-1.00502530112863,,
77,-0.00424,-1.04522631317377,,
78,-0.00423,-1.00502530112863,,
79,-0.00422,-1.00502530112863,,
80,-0.00421,-1.04522631317377,,
81,-0.0042,-1.04522631317377,,
82,-0.00419,-1.00502530112863,,
83,-0.00418,-1.04522631317377,,
84,-0.00417,-1.04522631317377,,
85,-0.00416,-1.04522631317377,,
86,-0.00415,-1.04522631317377,,
87,-0.00414,-1.04522631317377,,
88,-0.00413,-1.04522631317377,,
89,-0.00412,-1.04522631317377,,
90,-0.00411,-1.04522631317377,,
91,-0.0041,-0.964824289083481,,
92,-0.00409,-0.884422264993191,,
93,-0.00408,-0.723618216812611,,
94,-0.00407,-0.643216192722321,,
95,-0.00406,-0.522613156586885,,
96,-0.00405,-0.442211132496595,,
97,-0.00404,-0.32160809636116,,
98,-0.00403,-0.24120607227087,,
99,-0.00402,-0.16080404818058,,
100,-0.00401,-0.0804020240902901,,
101,-0.004,0,,
102,-0.00399,0.0804020240902901,,
103,-0.00398,0.0804020240902901,,
104,-0.00397,0.16080404818058,,
105,-0.00396,0.201005060225725,,
106,-0.00395,0.24120607227087,,
107,-0.00394,0.32160809636116,,
108,-0.00393,0.361809108406305,,
109,-0.00392,0.40201012045145,,
110,-0.00391,0.442211132496595,,
111,-0.0039,0.48241214454174,,
112,-0.00389,0.48241214454174,,
113,-0.00388,0.522613156586885,,
114,-0.00387,0.56281416863203,,
115,-0.00386,0.603015180677176,,
116,-0.00385,0.603015180677176,,
117,-0.00384,0.643216192722321,,
118,-0.00383,0.643216192722321,,
119,-0.00382,0.683417204767466,,
120,-0.00381,0.683417204767466,,
121,-0.0038,0.683417204767466,,
122,-0.00379,0.723618216812611,,
123,-0.00378,0.763819228857756,,
124,-0.00377,0.763819228857756,,
125,-0.00376,0.763819228857756,,
126,-0.00375,0.804020240902901,,
127,-0.00374,0.804020240902901,,
128,-0.00373,0.804020240902901,,
129,-0.00372,0.844221252948046,,
130,-0.00371,0.844221252948046,,
131,-0.0037,0.804020240902901,,
132,-0.00369,0.844221252948046,,
133,-0.00368,0.844221252948046,,
134,-0.00367,0.844221252948046,,
135,-0.00366,0.844221252948046,,
136,-0.00365,0.884422264993191,,
137,-0.00364,0.884422264993191,,
138,-0.00363,0.884422264993191,,
139,-0.00362,0.884422264993191,,
140,-0.00361,0.884422264993191,,
141,-0.0036,0.884422264993191,,
142,-0.00359,0.884422264993191,,
143,-0.00358,0.884422264993191,,
144,-0.00357,0.924623277038336,,
145,-0.00356,0.924623277038336,,
146,-0.00355,0.924623277038336,,
147,-0.00354,0.884422264993191,,
148,-0.00353,0.924623277038336,,
149,-0.00352,0.924623277038336,,
150,-0.00351,0.924623277038336,,
151,-0.0035,0.924623277038336,,
152,-0.00349,0.964824289083481,,
153,-0.00348,0.924623277038336,,
154,-0.00347,0.924623277038336,,
155,-0.00346,0.924623277038336,,
156,-0.00345,0.924623277038336,,
157,-0.00344,0.924623277038336,,
158,-0.00343,0.924623277038336,,
159,-0.00342,0.924623277038336,,
160,-0.00341,0.964824289083481,,
161,-0.0034,0.964824289083481,,
162,-0.00339,0.924623277038336,,
163,-0.00338,0.924623277038336,,
164,-0.00337,0.964824289083481,,
165,-0.00336,0.964824289083481,,
166,-0.00335,0.964824289083481,,
167,-0.00334,0.964824289083481,,
168,-0.00333,0.924623277038336,,
169,-0.00332,0.964824289083481,,
170,-0.00331,0.964824289083481,,
171,-0.0033,0.924623277038336,,
172,-0.00329,0.964824289083481,,
173,-0.00328,0.964824289083481,,
174,-0.00327,0.964824289083481,,
175,-0.00326,0.964824289083481,,
176,-0.00325,0.964824289083481,,
177,-0.00324,0.964824289083481,,
178,-0.00323,0.924623277038336,,
179,-0.00322,0.964824289083481,,
180,-0.00321,0.964824289083481,,
181,-0.0032,0.964824289083481,,
182,-0.00319,0.964824289083481,,
183,-0.00318,0.964824289083481,,
184,-0.00317,0.964824289083481,,
185,-0.00316,0.964824289083481,,
186,-0.00315,0.964824289083481,,
187,-0.00314,0.964824289083481,,
188,-0.00313,0.964824289083481,,
189,-0.00312,1.00502530112863,,
190,-0.00311,0.964824289083481,,
191,-0.0031,0.924623277038336,,
192,-0.00309,0.804020240902901,,
193,-0.00308,0.683417204767466,,
194,-0.00307,0.56281416863203,,
195,-0.00306,0.442211132496595,,
196,-0.00305,0.361809108406305,,
197,-0.00304,0.281407084316015,,
198,-0.00303,0.201005060225725,,
199,-0.00302,0.0804020240902901,,
200,-0.00301,0.040201012045145,,
201,-0.003,-0.0804020240902901,,
202,-0.00299,-0.120603036135435,,
203,-0.00298,-0.16080404818058,,
204,-0.00297,-0.24120607227087,,
205,-0.00296,-0.281407084316015,,
206,-0.00295,-0.32160809636116,,
207,-0.00294,-0.40201012045145,,
208,-0.00293,-0.442211132496595,,
209,-0.00292,-0.442211132496595,,
210,-0.00291,-0.522613156586885,,
211,-0.0029,-0.56281416863203,,
212,-0.00289,-0.56281416863203,,
213,-0.00288,-0.603015180677176,,
214,-0.00287,-0.603015180677176,,
215,-0.00286,-0.643216192722321,,
216,-0.00285,-0.683417204767466,,
217,-0.00284,-0.723618216812611,,
218,-0.00283,-0.723618216812611,,
219,-0.00282,-0.763819228857756,,
