Model: ,Oscilloscope DSO-X 2002A
Serial Number:,MY54313423
Address: ,USB0::0x0957::0x179B::MY54313423::0::INSTR
Date: ,2016-04-04 17:40:46

Analog Sample Count:,1000,

Setup Text Information:,
ANALOG,,,TRIGGER,,,HORIZONTAL,,,ACQUISITION,,,
Ch 1,,,,,,,,,,,,
Scale,200 mV/,,Sweep Mode,Auto,,Mode,MAIN,,Mode,NORM,,
Pos,0 V,,Coup,DC,,Ref,CENT,,Realtime,On,,
Coup,DC,,Noise Rej,Off,,Main Scale,200 µs/,,Vectors,On,,
BW,Off,,HF Rej,Off,,Main Delay,0 s,,Persistence,Off,,
Inv,Off,,Holdoff,40.0 ns,,,,,,,,
Imp,1M Ohm,,Mode,EDGE,,,,,,,,
Probe,1 : 1,,Source,Ch 1,,,,,,,,
Skew,0 s,,Slope,POS,,,,,,,,
,,,Level,-4 mV,,,,,,,,

Analog Channels,,,,
Sample Number,Time (s),1 (VOLT),,
1,-0.001,-0.152763799764216,,
2,-0.000998,-0.136683399789035,,
3,-0.000996,-0.128643199801445,,
4,-0.000994,-0.120602999813855,,
5,-0.000992,-0.120602999813855,,
6,-0.00099,-0.0884421998634934,,
7,-0.000988,-0.104522599838674,,
8,-0.000986,-0.0804019998759031,,
9,-0.000984,-0.0723617998883128,,
10,-0.000982,-0.0723617998883128,,
11,-0.00098,-0.0643215999007225,,
12,-0.000978,-0.0562813999131322,,
13,-0.000976,-0.0562813999131322,,
14,-0.000974,-0.0482411999255419,,
15,-0.000972,-0.0321607999503613,,
16,-0.00097,-0.0241205999627709,,
17,-0.000968,-0.0160803999751806,,
18,-0.000966,-0.00804019998759031,,
19,-0.000964,0,,
20,-0.000962,0.00804019998759031,,
21,-0.00096,0.00804019998759031,,
22,-0.000958,0.0160803999751806,,
23,-0.000956,0.0241205999627709,,
24,-0.000954,0.0241205999627709,,
25,-0.000952,0.0402009999379516,,
26,-0.00095,0.0482411999255419,,
27,-0.000948,0.0482411999255419,,
28,-0.000946,0.0562813999131322,,
29,-0.000944,0.0643215999007225,,
30,-0.000942,0.0723617998883128,,
31,-0.00094,0.0804019998759031,,
32,-0.000938,0.0884421998634934,,
33,-0.000936,0.0884421998634934,,
34,-0.000934,0.104522599838674,,
35,-0.000932,0.104522599838674,,
36,-0.00093,0.112562799826264,,
37,-0.000928,0.112562799826264,,
38,-0.000926,0.120602999813855,,
39,-0.000924,0.128643199801445,,
40,-0.000922,0.144723599776626,,
41,-0.00092,0.144723599776626,,
42,-0.000918,0.144723599776626,,
43,-0.000916,0.160803999751806,,
44,-0.000914,0.160803999751806,,
45,-0.000912,0.168844199739397,,
46,-0.00091,0.176884399726987,,
47,-0.000908,0.184924599714577,,
48,-0.000906,0.192964799702168,,
49,-0.000904,0.192964799702168,,
50,-0.000902,0.201004999689758,,
51,-0.0009,0.192964799702168,,
52,-0.000898,0.209045199677348,,
53,-0.000896,0.217085399664938,,
54,-0.000894,0.225125599652529,,
55,-0.000892,0.225125599652529,,
56,-0.00089,0.225125599652529,,
57,-0.000888,0.241205999627709,,
58,-0.000886,0.241205999627709,,
59,-0.000884,0.2492461996153,,
60,-0.000882,0.25728639960289,,
61,-0.00088,0.26532659959048,,
62,-0.000878,0.25728639960289,,
63,-0.000876,0.273366799578071,,
64,-0.000874,0.273366799578071,,
65,-0.000872,0.281406999565661,,
66,-0.00087,0.289447199553251,,
67,-0.000868,0.297487399540842,,
68,-0.000866,0.273366799578071,,
69,-0.000864,0.25728639960289,,
70,-0.000862,0.25728639960289,,
71,-0.00086,0.241205999627709,,
72,-0.000858,0.225125599652529,,
73,-0.000856,0.225125599652529,,
74,-0.000854,0.217085399664938,,
75,-0.000852,0.201004999689758,,
76,-0.00085,0.201004999689758,,
77,-0.000848,0.192964799702168,,
78,-0.000846,0.184924599714577,,
79,-0.000844,0.168844199739397,,
80,-0.000842,0.168844199739397,,
81,-0.00084,0.152763799764216,,
82,-0.000838,0.144723599776626,,
83,-0.000836,0.128643199801445,,
84,-0.000834,0.128643199801445,,
85,-0.000832,0.120602999813855,,
86,-0.00083,0.112562799826264,,
87,-0.000828,0.0964823998510838,,
88,-0.000826,0.0964823998510838,,
89,-0.000824,0.0884421998634934,,
90,-0.000822,0.0723617998883128,,
91,-0.00082,0.0723617998883128,,
92,-0.000818,0.0643215999007225,,
93,-0.000816,0.0562813999131322,,
94,-0.000814,0.0402009999379516,,
95,-0.000812,0.0321607999503613,,
96,-0.00081,0.0321607999503613,,
97,-0.000808,0.0241205999627709,,
98,-0.000806,0.0160803999751806,,
99,-0.000804,0.00804019998759031,,
100,-0.000802,0,,
101,-0.0008,-0.00804019998759031,,
102,-0.000798,-0.00804019998759031,,
