Model: ,Oscilloscope DSO-X 2002A
Serial Number:,MY54313423
Address: ,USB0::0x0957::0x179B::MY54313423::0::INSTR
Date: ,2016-04-04 17:39:07

Analog Sample Count:,1000,

Setup Text Information:,
ANALOG,,,TRIGGER,,,HORIZONTAL,,,ACQUISITION,,,
Ch 1,,,,,,,,,,,,
Scale,1 V/,,Sweep Mode,Auto,,Mode,MAIN,,Mode,NORM,,
Pos,0 V,,Coup,DC,,Ref,CENT,,Realtime,On,,
Coup,DC,,Noise Rej,Off,,Main Scale,1 ms/,,Vectors,On,,
BW,Off,,HF Rej,Off,,Main Delay,0 s,,Persistence,Off,,
Inv,Off,,Holdoff,40.0 ns,,,,,,,,
Imp,1M Ohm,,Mode,EDGE,,,,,,,,
Probe,1 : 1,,Source,Ch 1,,,,,,,,
Skew,0 s,,Slope,POS,,,,,,,,
,,,Level,-40 mV,,,,,,,,

Analog Channels,,,,
Sample Number,Time (s),1 (VOLT),,
1,-0.005,-0.040201012045145,,
2,-0.00499,-0.040201012045145,,
3,-0.00498,-0.120603036135435,,
4,-0.00497,-0.16080404818058,,
5,-0.00496,-0.16080404818058,,
6,-0.00495,-0.201005060225725,,
7,-0.00494,-0.201005060225725,,
8,-0.00493,-0.281407084316015,,
9,-0.00492,-0.281407084316015,,
10,-0.00491,-0.32160809636116,,
11,-0.0049,-0.32160809636116,,
12,-0.00489,-0.361809108406305,,
13,-0.00488,-0.361809108406305,,
14,-0.00487,-0.40201012045145,,
15,-0.00486,-0.40201012045145,,
16,-0.00485,-0.442211132496595,,
17,-0.00484,-0.48241214454174,,
18,-0.00483,-0.48241214454174,,
19,-0.00482,-0.522613156586885,,
20,-0.00481,-0.522613156586885,,
21,-0.0048,-0.522613156586885,,
22,-0.00479,-0.56281416863203,,
23,-0.00478,-0.56281416863203,,
24,-0.00477,-0.56281416863203,,
25,-0.00476,-0.603015180677176,,
26,-0.00475,-0.603015180677176,,
27,-0.00474,-0.643216192722321,,
28,-0.00473,-0.643216192722321,,
29,-0.00472,-0.643216192722321,,
30,-0.00471,-0.643216192722321,,
31,-0.0047,-0.683417204767466,,
32,-0.00469,-0.683417204767466,,
33,-0.00468,-0.683417204767466,,
34,-0.00467,-0.723618216812611,,
35,-0.00466,-0.723618216812611,,
36,-0.00465,-0.723618216812611,,
37,-0.00464,-0.763819228857756,,
38,-0.00463,-0.763819228857756,,
39,-0.00462,-0.763819228857756,,
40,-0.00461,-0.763819228857756,,
41,-0.0046,-0.763819228857756,,
42,-0.00459,-0.804020240902901,,
43,-0.00458,-0.804020240902901,,
44,-0.00457,-0.804020240902901,,
45,-0.00456,-0.804020240902901,,
46,-0.00455,-0.804020240902901,,
47,-0.00454,-0.804020240902901,,
48,-0.00453,-0.804020240902901,,
49,-0.00452,-0.844221252948046,,
50,-0.00451,-0.844221252948046,,
51,-0.0045,-0.844221252948046,,
52,-0.00449,-0.844221252948046,,
53,-0.00448,-0.884422264993191,,
54,-0.00447,-0.844221252948046,,
55,-0.00446,-0.844221252948046,,
56,-0.00445,-0.884422264993191,,
57,-0.00444,-0.884422264993191,,
58,-0.00443,-0.884422264993191,,
59,-0.00442,-0.884422264993191,,
60,-0.00441,-0.884422264993191,,
61,-0.0044,-0.884422264993191,,
62,-0.00439,-0.884422264993191,,
63,-0.00438,-0.884422264993191,,
64,-0.00437,-0.924623277038336,,
65,-0.00436,-0.924623277038336,,
66,-0.00435,-0.924623277038336,,
67,-0.00434,-0.924623277038336,,
68,-0.00433,-0.924623277038336,,
69,-0.00432,-0.924623277038336,,
70,-0.00431,-0.924623277038336,,
71,-0.0043,-0.964824289083481,,
72,-0.00429,-0.964824289083481,,
73,-0.00428,-0.924623277038336,,
74,-0.00427,-0.924623277038336,,
75,-0.00426,-0.964824289083481,,
76,-0.00425,-0.964824289083481,,
77,-0.00424,-0.964824289083481,,
78,-0.00423,-0.964824289083481,,
79,-0.00422,-0.964824289083481,,
80,-0.00421,-0.964824289083481,,
81,-0.0042,-0.964824289083481,,
82,-0.00419,-0.964824289083481,,
83,-0.00418,-0.924623277038336,,
84,-0.00417,-0.844221252948046,,
85,-0.00416,-0.804020240902901,,
86,-0.00415,-0.723618216812611,,
87,-0.00414,-0.683417204767466,,
88,-0.00413,-0.603015180677176,,
89,-0.00412,-0.56281416863203,,
90,-0.00411,-0.48241214454174,,
91,-0.0041,-0.442211132496595,,
92,-0.00409,-0.40201012045145,,
93,-0.00408,-0.361809108406305,,
94,-0.00407,-0.32160809636116,,
95,-0.00406,-0.24120607227087,,
96,-0.00405,-0.24120607227087,,
97,-0.00404,-0.16080404818058,,
98,-0.00403,-0.16080404818058,,
99,-0.00402,-0.0804020240902901,,
100,-0.00401,-0.0804020240902901,,
101,-0.004,-0.040201012045145,,
102,-0.00399,0,,
103,-0.00398,0.040201012045145,,
104,-0.00397,0.040201012045145,,
105,-0.00396,0.120603036135435,,
106,-0.00395,0.120603036135435,,
107,-0.00394,0.16080404818058,,
108,-0.00393,0.201005060225725,,
109,-0.00392,0.24120607227087,,
110,-0.00391,0.24120607227087,,
111,-0.0039,0.281407084316015,,
112,-0.00389,0.281407084316015,,
113,-0.00388,0.32160809636116,,
114,-0.00387,0.32160809636116,,
115,-0.00386,0.361809108406305,,
116,-0.00385,0.361809108406305,,
117,-0.00384,0.40201012045145,,
118,-0.00383,0.40201012045145,,
119,-0.00382,0.442211132496595,,
